Class,Species,Isolate,Temp (C),p (d-1),s.d.,max (d-1),s.d.,p: fmax,Cell volume,s.d.,C:N,s.d.,N:P,s.d.,C:P,s.d.
,,,,,,,,,(um-3),,,,,,,
Cryptophyceae,Chroomonas mesostigmatica,CCMP1168,20,0.31,0.01,0.58,0.04,0.54,150.7,65.3,6.81,0.22,26.81,1.2,182.4,3.9
Dinophyceae,Heterocapsa neie,CCMP448,20,0.11,0.02,0.41,0.02,0.27,"3,513.30","1,366.80",7.31,0.1,9.99,0.24,72.9,0.9
,Amphidinium carterae,CCMP121,24,0,0.03,0.52,0,0,870.2,318.7,7.85,1.74,17.67,4.39,133.7,1.4
,Prorocentrum mexicanum,CCMP687,24,0.11,0.01,0.24,0.04,0.46,"8,441.50","2,611.10",9.44,0.28,10.39,1.27,98.3,15.1
,Karenia brevis,CCMP2281,24,0.11,0.01,0.33,0.03,0.33,129,"3,873.50",7.18,0.11,16.4,1.11,117.8,9.5
Prymnesiophyceae,Phaeocystis antarctica,CCMP1374,2,0.06,0.02,0.28,0.05,0.22,94,55,6.08,0.3,18.48,2.66,111.7,10.9
,Gephyrocapsa oceanica,CCMP2051,20,0.22,0.02,0.53,0.02,0.41,87.1,43.4,7.04,0.14,17.88,2.32,126.1,18.3
,Gephyrocapsa oceanica,CCMP2054,20,0.43,0.04,0.52,0.12,0.83,142,60,5.69,0.58,25.57,8.79,142.4,38.2
,Emiliania huxleyi,CCMP2090,20,0.36,0.01,0.71,0.03,0.51,390.9,213.8,7.39,0.1,18.17,0.43,134.3,2.8
,Phaeocystis globosa,CCMP1528,24,0.83,0.03,0.95,0.03,0.87,79.8,4.2,6.37,0.16,16.49,3.94,105,24.1
Bacillariophyceae,Pseudo-nitzschia sp.,CCMP1309,2,0.12,0.05,0.32,0.02,0.39,200.3,63.6,5.89,0.03,13.9,1.03,81.9,6.5
,Fragilariopsis cylindrus,CCMP1102,2,0.14,0.07,0.28,0.08,0.48,38.9,21.1,5.72,0.13,10.1,0.36,57.8,1.7
,Thalassiosira minima,CCMP991,2,0.11,0.05,0.4,0.1,0.27,790.4,243.9,5.76,0.21,11.75,1.71,67.7,10
,Thalassiosira nordenskioleldii,CCMP992,2,0.1,0.02,0.28,0.04,0.35,"1,156.20",478.7,6.97,0.12,14.57,0.5,101.6,2.2
,Thalassiosira rotula,CCMP1018,14,0.12,0.05,0.54,0.01,0.23,",190.4","1,206.30",6.11,1.59,29.58,1.13,181.8,54.2
,Thalasiosira guillardii,CCMP988,14,0.17,0.03,0.58,0,0.29,117.5,44.8,6.61,0.16,17.33,0.27,114.5,2.4
,Thalassiosira pseudonana,CCMP1335,20,0.76,0.01,1.04,0.02,0.73,42.4,28.6,8.89,0.08,13.61,0.76,121,6
,Thalassiosira weissflogil,CCMP1587,20,0.56,0.1,0.79,0.09,0.71,564.7,154.1,7.22,0.22,19.45,8.11,139.4,53.8
,Phaeodactylum tricornutum,CCMP633,20,0.45,0.04,0.64,0.04,0.7,154.5,84.2,5.64,0.31,12.83,2.6,71.8,10.6
,Phaeodactylum tricomutum,CCMP2561,20,0.69,0.01,0.77,0.01,0.89,229.1,366.4,5.23,0.06,15.61,1.21,81.6,5.3
,Thalassiosira oceanica,CCMP1005,24,0.92,0.04,1.04,0.03,0.88,91.5,3.2,4.85,0.18,12.2,3.04,75.9,30.9
,Thalassiosira weissflogil,CCMP1050,24,0.46,0.1,0.91,0.02,0.51,734,207.4,8.21,0.39,14.36,0.64,117.8,7.2
Dictyophyceae,Aureococcus anophogefferens,CCMP1790,20,0.3,0.02,0.6,0.05,0.49,14.3,10.2,7.36,0.26,13.33,1.32,98,7.3
,Pelagomonas calceolata,CCMP1865,20,0.2,0.02,0.55,0.03,0.36,13.2,7.3,6.06,0.16,18.06,1.86,109.4,9.8
,Pelagomonas calceolata,CCMP1756,24,0.34,0.03,0.88,0.03,0.39,10.5,6.3,5.6,0.26,20.35,3.35,113.5,14.4
Mamiellophyceae,Micromonas pusilla,CCMP485,14,0.22,0.01,0.59,0.06,0.38,5.3,3,7.37,0.34,12.38,2.77,90.7,16.9
,Micromonas pusilla,CCMP1723,20,0.01,0.02,0.54,0,0.02,5.9,4.2,6.39,0.19,8.89,1.22,56.9,9
,Ostreococcus lucimarinus,CCMP2972,20,0.07,0.02,0.55,0.02,0.13,0.1,0,5.25,0.17,22.81,2.13,119.5,7.3
,Micromonas pusilla,CCMP2709,24,0,0.04,0.47,0.1,0.01,4.6,3.7,5.63,0.53,12.2,4.56,67.1,18.3
Prasinophyceae,Pycnococcus provasoli,CCMP3400,20,0.21,0.05,0.51,0.03,0.42,5.9,3.8,7.87,0.3,15.85,1.94,125.1,19.3